ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,RAW_MATERIAL_COST,OPERATING_EXPENSES,PURCHASE_CATEGORY
10275,45,92.83,1,4177.35,23-07-2019,326,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Labrune,Janine,Medium,3241.96,1947.68,Utilities
10285,36,113.88,6,4099.68,27-08-2019,292,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,Cambridge,USA,Hernandez,Marta,Medium,1086.72,1184.21,Raw Materials
10299,23,112.93,9,2597.39,30-09-2019,259,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,Karttunen,Matti,Small,1275.08,1626.58,Utilities
10309,41,107.18,5,4394.38,15-10-2019,245,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,Stavern,Norway,Bergulfsen,Jonas,Medium,2437.71,1910.17,Raw Materials
10318,46,94.74,1,4358.04,02-11-2019,228,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Medium,1987.17,1483.19,Raw Materials
10329,42,104.67,1,4396.14,15-11-2019,216,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,NYC,USA,Yu,Kwai,Medium,3314.25,1727.37,Raw Materials
10341,41,188.73,9,7737.93,24-11-2019,208,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,Salzburg,Austria,Pipps,Georg,Large,2091.98,1241.79,Utilities
10361,20,72.55,13,1451,17-12-2019,186,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Small,1587.7,1401.77,Logistics
10375,21,34.91,12,733.11,03-02-2020,139,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,Nantes,France,Labrune,Janine,Small,4465.65,1397.07,Logistics
10388,42,76.36,4,3207.12,03-03-2020,111,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,New Bedford,USA,Benitez,Violeta,Medium,2774.22,1126.71,Raw Materials
10403,24,101.44,7,2434.56,08-04-2020,76,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,Devon,Elizabeth,Small,3067.53,1411.61,Marketing
10417,66,113.88,2,7516.08,13-05-2020,42,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Large,1575.25,725.69,Raw Materials
10103,26,207.87,11,5404.62,29-01-2018,878,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,Stavern,Norway,Bergulfsen,Jonas,Medium,2455.62,1254.42,Raw Materials
10112,29,248.59,1,7209.11,24-03-2018,825,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,Berglund,Christina,Large,3110.92,1357.56,Raw Materials
10126,38,192.87,11,7329.06,28-05-2018,761,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,Sommer,Mart¡n,Large,1849.01,1371.91,Utilities
10140,37,199.3,11,7374.1,24-07-2018,705,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Large,3375.7,1379.25,Salaries
10150,45,244.3,8,10993.5,19-09-2018,649,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Natividad,Eric,Large,2399.36,1469.12,Marketing
10163,21,231.44,1,4860.24,20-10-2018,619,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,NYC,USA,Hernandez,Maria,Medium,2708.31,1739.72,Marketing
10174,34,235.73,4,8014.82,06-11-2018,603,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",South Brisbane,Australia,Calaghan,Tony,Large,2398.29,1937.26,Utilities
10183,23,233.59,8,5372.57,13-11-2018,597,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",Philadelphia,USA,Cervantes,Francisca,Medium,4852.28,1175.12,Marketing
10194,42,173.58,11,7290.36,25-11-2018,586,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",Lyon,France,Saveley,Mary,Large,2986.5,898.4,Logistics
10206,47,192.87,6,9064.89,05-12-2018,577,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,Vancouver,Canada,Tannamuri,Yoshi,Large,1942.29,978.98,Raw Materials
10215,35,173.58,3,6075.3,29-01-2019,523,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,Burbank,USA,Thompson,Steve,Medium,3822.54,1256.4,Marketing
10228,29,222.87,2,6463.23,10-03-2019,484,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,Cambridge,USA,Tseng,Kyung,Medium,1779.16,1324.04,Marketing
10245,34,180.01,9,6120.34,04-05-2019,430,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,New Haven,USA,Murphy,Leslie,Medium,3208.86,1115,Raw Materials
10258,32,240.02,6,7680.64,15-06-2019,389,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",Minato-ku,Japan,Shimamura,Akiko,Large,1040.33,851.94,Raw Materials
10270,21,233.59,9,4905.39,19-07-2019,356,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Medium,1671.81,1271.94,Salaries
10280,34,235.73,2,8014.82,17-08-2019,328,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,Torino,Italy,Accorti,Paolo,Large,3196.86,1590.71,Logistics
10291,37,192.87,11,7136.19,08-09-2019,307,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,Boras,Sweden,Larsson,Maria,Large,3738.47,1797.51,Salaries
10304,47,216.44,6,10172.7,11-10-2019,275,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,Versailles,France,Tonini,Daniel,Large,3171.37,1221.29,Logistics
10312,48,242.16,3,11623.7,21-10-2019,266,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Large,2884.35,1293.5,Utilities
10322,40,150.01,1,6000.4,04-11-2019,253,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Medium,2698.9,1036.65,Logistics
10347,30,131.49,1,3944.7,29-11-2019,229,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Medium,1521.48,1484.28,Utilities
10357,32,177.87,10,5691.84,10-12-2019,219,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,2280.16,1075.79,Salaries
10369,41,110.12,2,4514.92,20-01-2020,179,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,Brickhaven,USA,Nelson,Allen,Medium,2539.36,1786.56,Raw Materials
10391,24,100.69,4,2416.56,09-03-2020,131,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",North Sydney,Australia,O'Hara,Anna,Small,4057.12,607.07,Marketing
10411,23,180.01,9,4140.23,01-05-2020,79,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,Montreal,Canada,Fresnisre,Jean,Medium,3343.62,1320.19,Marketing
10424,50,240.02,6,12001,31-05-2020,50,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Large,1236.96,1650.55,Marketing
10107,39,99.91,5,3896.49,24-02-2018,878,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Yu,Kwai,Medium,3324.08,1591.92,Salaries
10120,29,96.34,3,2793.86,29-04-2018,815,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Small,2614.92,2846.52,Utilities
10134,27,122.51,5,3307.77,01-07-2018,753,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Medium,2323.08,1674.9,Salaries
10145,37,140.35,9,5192.95,25-08-2018,699,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,Pasadena,USA,Young,Julie,Medium,3611.68,997.97,Utilities
10168,27,135.59,4,3660.93,28-10-2018,636,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,4031,1452.27,Utilities
10180,42,111.8,12,4695.6,11-11-2018,623,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,Lille,France,Rance,Martine,Medium,3931.28,611.88,Marketing
10188,38,96.34,4,3660.92,18-11-2018,617,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Medium,2160.78,1459.7,Utilities
10210,23,130.83,2,3009.09,12-01-2019,563,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,Osaka,Japan,Kentary,Mory,Medium,2690.79,1083.47,Salaries
10223,47,115.37,4,5422.39,20-02-2019,525,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Medium,3331.26,1957.7,Raw Materials
10236,22,129.64,1,2852.08,03-04-2019,484,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,Philadelphia,USA,Hernandez,Rosa,Small,3975.55,1225.23,Raw Materials
10251,44,130.83,5,5756.52,18-05-2019,440,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,Newark,USA,Brown,William,Medium,2520.83,1441.62,Utilities
10263,40,111.8,5,4472,28-06-2019,400,Shipped,Motorcycles,118,S10_2016,Gift Depot Inc.,Bridgewater,USA,King,Julie,Medium,2814.34,1182.22,Utilities
10275,22,132.02,4,2904.44,23-07-2019,376,Shipped,Motorcycles,118,S10_2016,La Rochelle Gifts,Nantes,France,Labrune,Janine,Small,1893.67,2369.43,Marketing
10285,47,137.97,9,6484.59,27-08-2019,342,Shipped,Motorcycles,118,S10_2016,Marta's Replicas Co.,Cambridge,USA,Hernandez,Marta,Medium,1803.79,1339.38,Logistics
10298,39,96.34,1,3757.26,27-09-2019,312,Shipped,Motorcycles,118,S10_2016,Atelier graphique,Nantes,France,Schmitt,Carine,Medium,3812.53,2416.28,Utilities
10308,34,118.94,2,4043.96,15-10-2019,295,Shipped,Motorcycles,118,S10_2016,Mini Classics,White Plains,USA,Frick,Steve,Medium,4356.24,1907.08,Salaries
10318,45,123.7,4,5566.5,02-11-2019,278,Shipped,Motorcycles,118,S10_2016,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Medium,2927.99,1741.03,Raw Materials
10329,20,158.8,2,3176,15-11-2019,266,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,NYC,USA,Yu,Kwai,Medium,4003.53,1684.37,Salaries
10339,40,68.92,4,2756.8,23-11-2019,259,Shipped,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",Minato-ku,Japan,Shimamura,Akiko,Small,3361.64,1696.9,Raw Materials
10361,26,51.15,8,1329.9,17-12-2019,236,Shipped,Motorcycles,118,S10_2016,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Small,2354.88,536.16,Salaries
10374,39,135.59,5,5288.01,02-02-2020,190,Shipped,Motorcycles,118,S10_2016,"Australian Gift Network, Co",South Brisbane,Australia,Calaghan,Tony,Medium,3361.4,1360.56,Raw Materials
10388,50,44.51,5,2225.5,03-03-2020,161,Shipped,Motorcycles,118,S10_2016,FunGiftIdeas.com,New Bedford,USA,Benitez,Violeta,Small,4538.04,1922.58,Salaries
10402,45,129.64,1,5833.8,07-04-2020,127,Shipped,Motorcycles,118,S10_2016,Auto Canal Petit,Paris,France,Perrier,Dominique,Medium,2964.17,1475.55,Salaries
10417,45,130.83,5,5887.35,13-05-2020,92,Disputed,Motorcycles,118,S10_2016,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,4564.64,797.41,Salaries
10107,27,224.65,4,6065.55,24-02-2018,902,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Yu,Kwai,Medium,500,1473.8,Utilities
10120,46,201.41,2,9264.86,29-04-2018,839,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Large,3821.9,2352.05,Marketing
10134,31,226.58,4,7023.98,01-07-2018,777,Shipped,Motorcycles,193,S10_4698,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Large,3087.05,2123.45,Utilities
10145,33,156.86,8,5176.38,25-08-2018,723,Shipped,Motorcycles,193,S10_4698,Toys4GrownUps.com,Pasadena,USA,Young,Julie,Medium,2700.99,1469,Logistics
10168,20,209.15,3,4183,28-10-2018,660,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,3091.76,1975.72,Salaries
10180,41,216.9,11,8892.9,11-11-2018,647,Shipped,Motorcycles,193,S10_4698,Daedalus Designs Imports,Lille,France,Rance,Martine,Large,1012.43,1316.75,Salaries
10188,45,193.66,3,8714.7,18-11-2018,641,Shipped,Motorcycles,193,S10_4698,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Large,2780.33,648.06,Salaries
10210,34,180.1,1,6123.4,12-01-2019,587,Shipped,Motorcycles,193,S10_4698,Osaka Souveniers Co.,Osaka,Japan,Kentary,Mory,Medium,3357.11,1037.77,Logistics
10223,49,199.47,3,9774.03,20-02-2019,549,Shipped,Motorcycles,193,S10_4698,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Large,4477.89,2281.44,Raw Materials
10237,39,180.1,9,7023.9,05-04-2019,506,Shipped,Motorcycles,193,S10_4698,Vitachrome Inc.,NYC,USA,Frick,Michael,Large,2481.73,1363,Utilities
10251,43,164.61,4,7078.23,18-05-2019,464,Shipped,Motorcycles,193,S10_4698,Tekni Collectables Inc.,Newark,USA,Brown,William,Large,2191.51,1378.31,Marketing
10263,41,203.34,4,8336.94,28-06-2019,424,Shipped,Motorcycles,193,S10_4698,Gift Depot Inc.,Bridgewater,USA,King,Julie,Large,2498.24,1350.08,Raw Materials
10275,36,191.72,3,6901.92,23-07-2019,400,Shipped,Motorcycles,193,S10_4698,La Rochelle Gifts,Nantes,France,Labrune,Janine,Medium,3915.4,2452.07,Logistics
10285,27,201.41,8,5438.07,27-08-2019,366,Shipped,Motorcycles,193,S10_4698,Marta's Replicas Co.,Cambridge,USA,Hernandez,Marta,Medium,3328.75,2312.98,Utilities
10299,29,230.46,11,6683.34,30-09-2019,333,Shipped,Motorcycles,193,S10_4698,"Toys of Finland, Co.",Helsinki,Finland,Karttunen,Matti,Medium,2470.24,2609.39,Raw Materials
10308,20,228.52,1,4570.4,15-10-2019,319,Shipped,Motorcycles,193,S10_4698,Mini Classics,White Plains,USA,Frick,Steve,Medium,3513.27,1420.48,Salaries
10318,37,207.22,3,7667.14,02-11-2019,302,Shipped,Motorcycles,193,S10_4698,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Large,3097.08,1647.81,Utilities
10329,26,225.7,3,5868.2,15-11-2019,290,Shipped,Motorcycles,193,S10_4698,Land of Toys Inc.,NYC,USA,Yu,Kwai,Medium,3968.64,741.68,Raw Materials
10339,39,76.67,3,2990.13,23-11-2019,283,Shipped,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",Minato-ku,Japan,Shimamura,Akiko,Small,2297.95,2238.47,Utilities
10362,22,166.55,4,3664.1,05-01-2020,241,Shipped,Motorcycles,193,S10_4698,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,2672.34,916.11,Salaries
10374,22,174.29,1,3834.38,02-02-2020,214,Shipped,Motorcycles,193,S10_4698,"Australian Gift Network, Co",South Brisbane,Australia,Calaghan,Tony,Medium,2607.89,1608.39,Salaries
10388,21,86.77,7,1822.17,03-03-2020,185,Shipped,Motorcycles,193,S10_4698,FunGiftIdeas.com,New Bedford,USA,Benitez,Violeta,Small,1536.49,951.35,Marketing
10403,66,180.1,9,11886.6,08-04-2020,150,Shipped,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",Liverpool,UK,Devon,Elizabeth,Large,3296.12,1205.57,Raw Materials
10417,56,164.61,4,9218.16,13-05-2020,116,Disputed,Motorcycles,193,S10_4698,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Large,3261.06,1081.37,Utilities
10105,50,144.16,2,7208,11-02-2018,939,Shipped,Classic Cars,136,S10_4757,Danish Wholesale Imports,Kobenhavn,Denmark,Petersen,Jytte,Large,3005.11,1196.06,Utilities
10119,46,108.8,11,5004.8,28-04-2018,864,Shipped,Classic Cars,136,S10_4757,Salzburg Collectables,Salzburg,Austria,Pipps,Georg,Medium,2765.41,1230.44,Logistics
10129,33,133.28,2,4398.24,12-06-2018,820,Shipped,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",London,UK,Brown,Ann,Medium,1584.63,1225.87,Logistics
10143,49,114.24,15,5597.76,10-08-2018,762,Shipped,Classic Cars,136,S10_4757,Mini Creations Ltd.,New Bedford,USA,Tam,Wing C,Medium,2579.35,1916.67,Logistics
10155,32,141.44,13,4526.08,06-10-2018,706,Shipped,Classic Cars,136,S10_4757,"Toys of Finland, Co.",Helsinki,Finland,Karttunen,Matti,Medium,2657.29,947.57,Utilities
10167,44,134.64,9,5924.16,23-10-2018,690,Cancelled,Classic Cars,136,S10_4757,Scandinavian Gift Ideas,Boras,Sweden,Larsson,Maria,Medium,2197.72,1610.27,Logistics
10178,24,145.52,12,3492.48,08-11-2018,675,Shipped,Classic Cars,136,S10_4757,Alpha Cognac,Toulouse,France,Roulet,Annette,Medium,2838.71,2108.98,Utilities
10186,26,148.24,9,3854.24,14-11-2018,670,Shipped,Classic Cars,136,S10_4757,"Double Decker Gift Stores, Ltd",London,UK,Hardy,Thomas,Medium,3404.05,1243.4,Marketing
10197,45,118.32,6,5324.4,26-11-2018,659,Shipped,Classic Cars,136,S10_4757,Enaco Distributors,Barcelona,Spain,Saavedra,Eduardo,Medium,4886.19,1141.04,Logistics
10222,49,122.4,12,5997.6,19-02-2019,575,Shipped,Classic Cars,136,S10_4757,Collectable Mini Designs Co.,San Diego,USA,Thompson,Valarie,Medium,3174.58,1384.74,Salaries
10248,20,145.52,3,2910.4,07-05-2019,499,Cancelled,Classic Cars,136,S10_4757,Land of Toys Inc.,NYC,USA,Yu,Kwai,Small,3257.55,2089.86,Salaries
10261,27,125.12,1,3378.24,17-06-2019,459,Shipped,Classic Cars,136,S10_4757,Quebec Home Shopping Network,Montreal,Canada,Fresnisre,Jean,Medium,2925.55,1597.05,Logistics
10273,30,116.96,4,3508.8,21-07-2019,426,Shipped,Classic Cars,136,S10_4757,Petit Auto,Bruxelles,Belgium,Dewey,Catherine,Medium,1081.23,1234.39,Utilities
10283,25,119.68,6,2992,20-08-2019,397,Shipped,Classic Cars,136,S10_4757,"Royal Canadian Collectables, Ltd.",Tsawassen,Canada,Lincoln,Elizabeth,Small,2973.49,1741.94,Marketing
10295,24,142.8,1,3427.2,10-09-2019,377,Shipped,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Yoshido,Juri,Medium,3060.23,948.85,Marketing
10307,22,122.4,9,2692.8,14-10-2019,344,Shipped,Classic Cars,136,S10_4757,"Classic Gift Ideas, Inc",Philadelphia,USA,Cervantes,Francisca,Small,5463.24,1840.68,Marketing
10316,33,125.12,17,4128.96,01-11-2019,327,Shipped,Classic Cars,136,S10_4757,giftsbymail.co.uk,Cowes,UK,Bennett,Helen,Medium,2807.64,1704.3,Raw Materials
10325,47,64.93,6,3051.71,05-11-2019,324,Shipped,Classic Cars,136,S10_4757,Baane Mini Imports,Stavern,Norway,Bergulfsen,Jonas,Medium,3301.55,1346.1,Salaries
10337,25,48.05,8,1201.25,21-11-2019,309,Shipped,Classic Cars,136,S10_4757,Classic Legends Inc.,NYC,USA,Hernandez,Maria,Small,2965.29,1080.71,Utilities
10350,26,75.47,5,1962.22,02-12-2019,299,Shipped,Classic Cars,136,S10_4757,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Small,1831.32,1056.66,Logistics
10359,48,54.68,6,2624.64,15-12-2019,287,Shipped,Classic Cars,136,S10_4757,Reims Collectables,Reims,France,Henriot,Paul,Small,4142.82,1767.41,Logistics
10373,39,103.75,3,4046.25,31-01-2020,241,Shipped,Classic Cars,136,S10_4757,"Oulu Toy Supplies, Inc.",Oulu,Finland,Koskitalo,Pirkko,Medium,3751.93,2114.49,Marketing
10395,32,105.33,2,3370.56,17-03-2020,196,Shipped,Classic Cars,136,S10_4757,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Medium,3791.03,1181.35,Marketing
10400,64,150.96,9,9661.44,01-04-2020,182,Shipped,Classic Cars,136,S10_4757,The Sharp Gifts Warehouse,San Jose,USA,Frick,Sue,Large,2090.61,1729.19,Logistics
10414,19,145.52,3,2764.88,06-05-2020,148,On Hold,Classic Cars,136,S10_4757,Gifts4AllAges.com,Boston,USA,Yoshido,Juri,Small,4402.79,456.49,Salaries
10103,42,128.53,4,5398.26,29-01-2018,977,Shipped,Classic Cars,147,S10_4962,Baane Mini Imports,Stavern,Norway,Bergulfsen,Jonas,Medium,1598.15,1207.69,Salaries
10114,31,138.88,8,4305.28,01-04-2018,916,Shipped,Classic Cars,147,S10_4962,"La Corne D'abondance, Co.",Paris,France,Bertrand,Marie,Medium,3586.86,1484.47,Raw Materials
10126,22,152.17,4,3347.74,28-05-2018,860,Shipped,Classic Cars,147,S10_4962,"Corrida Auto Replicas, Ltd",Madrid,Spain,Sommer,Mart¡n,Medium,5190.46,1045.16,Marketing
10140,26,122.62,4,3188.12,24-07-2018,804,Shipped,Classic Cars,147,S10_4962,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,2009.46,1031.75,Raw Materials
10150,20,159.56,1,3191.2,19-09-2018,748,Shipped,Classic Cars,147,S10_4962,"Dragon Souveniers, Ltd.",Singapore,Singapore,Natividad,Eric,Medium,2433.7,1166.11,Logistics
10164,21,168.42,2,3536.82,21-10-2018,717,Resolved,Classic Cars,147,S10_4962,Mini Auto Werke,Graz,Austria,Mendel,Roland,Medium,3099.65,1646.1,Logistics
10175,33,162.51,9,5362.83,06-11-2018,702,Shipped,Classic Cars,147,S10_4962,"Stylish Desk Decors, Co.",London,UK,Brown,Ann,Medium,2496.52,1406.34,Utilities
10183,28,122.62,1,3433.36,13-11-2018,696,Shipped,Classic Cars,147,S10_4962,"Classic Gift Ideas, Inc",Philadelphia,USA,Cervantes,Francisca,Medium,1449.34,380.88,Marketing
10194,26,163.99,4,4263.74,25-11-2018,685,Shipped,Classic Cars,147,S10_4962,"Saveley & Henriot, Co.",Lyon,France,Saveley,Mary,Medium,3068.56,439.65,Marketing
10207,31,131.49,15,4076.19,09-12-2018,672,Shipped,Classic Cars,147,S10_4962,Diecast Collectables,Boston,USA,Franco,Valarie,Medium,1937.7,1196.57,Salaries
10217,48,146.26,4,7020.48,04-02-2019,616,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Victorino,Wendy,Large,3473.59,1728.84,Salaries
10229,50,128.53,9,6426.5,11-03-2019,582,Shipped,Classic Cars,147,S10_4962,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,2080.58,200,Marketing
10245,28,163.99,2,4591.72,04-05-2019,529,Shipped,Classic Cars,147,S10_4962,Super Scale Inc.,New Haven,USA,Murphy,Leslie,Medium,4549.93,1250.13,Raw Materials
10259,26,155.13,12,4033.38,15-06-2019,488,Shipped,Classic Cars,147,S10_4962,Handji Gifts& Co,Singapore,Singapore,Victorino,Wendy,Medium,2216.75,1236.88,Salaries
10270,32,134.44,2,4302.08,19-07-2019,455,Shipped,Classic Cars,147,S10_4962,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Medium,2677.94,2194.17,Salaries
10281,44,159.56,9,7020.64,19-08-2019,425,Shipped,Classic Cars,147,S10_4962,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Large,3813.52,1307.49,Logistics
10291,30,128.53,4,3855.9,08-09-2019,406,Shipped,Classic Cars,147,S10_4962,Scandinavian Gift Ideas,Boras,Sweden,Larsson,Maria,Medium,1769.14,1691.49,Marketing
10305,38,175.81,13,6680.78,13-10-2019,372,Shipped,Classic Cars,147,S10_4962,Marta's Replicas Co.,Cambridge,USA,Hernandez,Marta,Medium,3227.46,1570.63,Logistics
10313,40,166.95,7,6678,22-10-2019,364,Shipped,Classic Cars,147,S10_4962,Canadian Gift Exchange Network,Vancouver,Canada,Tannamuri,Yoshi,Medium,4307.14,434.72,Raw Materials
10322,46,61.99,8,2851.54,04-11-2019,352,Shipped,Classic Cars,147,S10_4962,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Small,1392.52,1884.1,Raw Materials
10334,26,122.62,2,3188.12,19-11-2019,338,On Hold,Classic Cars,147,S10_4962,"Volvo Model Replicas, Co",Lule,Sweden,Berglund,Christina,Medium,3184.63,1607.7,Marketing
